"","st_id","op_id","op_date","st_alt","st_dist_source","st_t_jan","st_t_jui","sp_nom","sp_effectif"
"12916",648,1549,"18/10/2005 00:00:00",47,83,4.1,20,"Rutilus rutilus",88
"12286",42,1478,"2/9/2004 00:00:00",138,39,3,18.5,"Barbatula barbatula",59
"11280",248,1358,"9/9/2003 00:00:00",70,36,3.4,19.7,"Cottus gobio",289
"22036",828,2794,"24/9/2003 00:00:00",28,27.16,5.5,18.4,"Salmo salar",18
"13007",454,1557,"6/9/2005 00:00:00",41,454,4,19.7,"Alburnus alburnus",18
"29130",1410,3665,"9/9/1999 00:00:00",135,14,4.7,18.9,"Squalius cephalus",3
"32625",1442,3966,"16/6/2004 00:00:00",27,19,6.5,20.1,"Barbatula barbatula",8
"32767",1360,3979,"28/9/2005 00:00:00",156,2,4,19.3,"Salmo trutta fario",4
"11506",514,1390,"5/6/2003 00:00:00",80,13,3.9,19.6,"Esox lucius",1
"30705",1411,3811,"15/9/1994 00:00:00",35,146,5.8,19.7,"Tinca tinca",1
"10637",514,1291,"7/4/1999 00:00:00",80,13,3.9,19.6,"Gymnocephalus cernuus",13
"35702",1689,4355,"6/6/1983 00:00:00",5,135,6.6,19.4,"Leucaspius delineatus",1
"1023",564,123,"26/10/1995 00:00:00",30,52,4.4,18.3,"Cottus gobio",55
"18701",1001,2340,"5/11/1993 00:00:00",121,13.45,4.9,18.2,"Cottus gobio",21
"478",539,64,"7/12/1984 00:00:00",NA,NA,4.2,19.9,"Blicca bjoerkna",1
"29525",1319,3700,"11/10/1988 00:00:00",82,33,5.2,19,"Oncorhynchus mykiss",1
"9064",134,1078,"30/9/1988 00:00:00",15,13,4.4,18.2,"Salmo trutta fario",63
"31262",1378,3854,"17/6/2003 00:00:00",122,66,5,19.8,"Alburnus alburnus",1
"5087",451,577,"19/6/2001 00:00:00",57,109,3.8,20,"Blicca bjoerkna",1
"36342",1807,4436,"1/10/1985 00:00:00",36,16,6.9,18.6,"Lampetra planeri",11
"7321",661,846,"21/9/1994 00:00:00",29,411,4.5,20.4,"Alburnus alburnus",7
"35349",1635,4295,"16/8/1989 00:00:00",98,10,6.8,17.2,"Salmo trutta fario",69
"7422",662,857,"29/5/1996 00:00:00",35,493,4.5,20.3,"Cottus gobio",1
"16357",987,1995,"1/10/1987 00:00:00",15,85,5.9,17.5,"Salmo trutta fario",7
"32819",1364,3986,"28/9/2005 00:00:00",109,25,4.2,19.5,"Alburnus alburnus",36
"408",515,55,"7/6/1995 00:00:00",17,544,4.4,19.4,"Anguilla anguilla",6
"26128",785,3362,"6/9/2006 00:00:00",NA,NA,4.6,18,"Rutilus rutilus",24
"17133",877,2108,"24/10/1979 00:00:00",5,52.03,6,17.7,"Scardinius erythrophthalmus",5
"13498",472,1614,"7/6/2005 00:00:00",31,414,4.9,20.8,"Abramis brama",1
"28608",1339,3622,"2/9/1998 00:00:00",145,13,4.8,18.7,"Squalius cephalus",50
"11536",525,1394,"7/10/2003 00:00:00",29,27,4.2,19.6,"Barbatula barbatula",14
"1168",186,142,"9/6/1999 00:00:00",33,49,3.9,18.9,"Gobio gobio",3
"34325",1583,4119,"26/9/1984 00:00:00",52,20,6.9,17.4,"Barbatula barbatula",14
"27619",1435,3533,"21/10/1999 00:00:00",25,238,5.7,19.8,"Tinca tinca",1
"5714",403,658,"11/12/1996 00:00:00",31,12,4,19.4,"Scardinius erythrophthalmus",2
"6446",268,732,"20/8/1985 00:00:00",NA,225,3.6,19,"Barbatula barbatula",43
"18206",1195,2270,"5/8/1988 00:00:00",180,8.1,4.4,18.2,"Lampetra planeri",1
